evt_block_time,supply_apy,variable_borrow_apy,stable_borrow_apy,liquidity_usd,liquidity_usdc,liquidity_weth,total_liquidity,Lido staking APR(instant),Lido staking APR(ma_7),CL APR,EL APR,avg_funding_rate_geo,weth_reserve,usdc_reserve,weth_price,usdc_price,trading_volume,eth_usd,steth_usd
2021-10-23,0.0038674137046367965,0.19864825381458345,3.248310317268229,216003373.48,71847172.75709502,35862.45529557608,-0.38129613793492073,0.054501093175212345,0.05277843524790706,5.45,0.0,0.061655,0.6229370617778032,-0.5976154076997376,4019.583784722222,4019.6969097222227,5785.769982267309,4019.364758138479,4019.293380605557
2021-10-24,0.0037996353790316737,0.19653863800832186,3.245673297510402,134096432.97,48600847.75174201,20997.283056395092,-0.3805984743961438,0.05458492492133371,0.05332673494446088,5.458,0.0,0.063053,-0.6254542299088626,0.625696321233662,4061.5963888888896,4071.7451388888917,19162.199590707834,4071.532728365304,4061.361407232723
2021-10-25,0.00383748431187239,0.19768367631738934,3.247104595396736,77930089.82,59376649.79218002,4490.9223250485675,-0.3363417363119761,0.054396552513629404,0.05445901627736267,5.44,0.0,0.064702,0.1422960899693655,-0.10740510705787942,4121.154618055555,4131.320624999999,37104.393728204275,4131.114966213545,4121.001008789761
2021-10-26,0.00349050558319693,0.18493127761478353,3.231164097018479,126081457.29,68644458.31963101,13546.189570666873,-0.3389871276090785,0.05434840011823816,0.05450482436974508,5.435,0.0,0.066474,0.09174529261255833,-0.06406427071292134,4239.237083333332,4240.0852777777845,26681.86758515586,4239.898201257942,4239.024861809541
2021-10-27,0.003518689223032278,0.18709880626822417,3.23387350783528,241487403.96,67940205.58122699,42359.0764743107,-0.34087144827454136,0.05441071588726665,0.0544825006390256,5.441,0.0,0.068143,-0.25168237122924614,0.2907737211697566,4075.744097222223,4097.048680555555,46879.63092436048,4094.4397417222276,4073.2118342076487
2021-10-28,0.004178848177599537,0.21560343443358942,3.2695042930419866,151746120.42,65712922.024317995,20960.139903707288,-0.3460713224013503,0.05161949662820775,0.054062459310607346,5.162,0.0,0.069761,0.052228296702807805,-0.02570131229862528,4100.659479166664,4104.6099305555545,26774.872681300854,4103.1850410877405,4099.288827964486
2021-10-29,0.00815015315627376,0.31356410363344195,3.391955129541802,258995272.04,65381459.532974966,44544.66623868014,-0.34302168690804097,0.05349850462062955,0.05390852683778823,5.35,0.0,0.071494,0.3062104264520076,-0.2801954311884284,4334.625208333335,4346.509444444442,20716.563828348986,4345.861034308499,4334.242079352712
2021-10-30,0.011119558193899367,0.3695456313539323,3.461932039192415,143060454.59,6769617.403075001,31569.100160011516,-0.3481227964055543,0.05392135877245474,0.0538257076373943,5.392,0.0,0.073329,-0.42172231321354675,0.4292427080098404,4299.502708333334,4317.222743055551,7802.112440096775,4316.291947185958,4299.254601462391
2021-10-31,0.011684070159723559,0.38028277408394073,3.4753534676049256,173921212.06,64061048.54094199,25727.451254767508,-0.3480874067885377,0.05421857774478789,0.05377337232645918,5.422,0.0,0.074823,-0.3827206486781564,0.41993747077569116,4258.596805555557,4270.153402777777,41608.85853861196,4269.367034845505,4258.119557554853
2021-11-01,0.009713495172887653,0.3422498477656036,3.4278123097070043,105803495.57,36849931.175444,16003.774884981369,-0.35184225481637554,0.05440830566187271,0.05377505134763678,5.441,0.0,0.076387,0.9516578355558741,-0.9369322711470766,4281.711562500002,4308.58125,10870.871350097646,4308.367713377455,4281.499966999571
